Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language (Tweets) ,Country,Location (Tweets) ,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
"全世界のサムの皆様、配達ご苦労様です。既に1度はクリアされている方も増えて来たみたいですが、皆さんは、どのキャラクターが好きになりましたか？共感しましたか？

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/6tCGtHleY3",2019/11/18 9:26,1287,5727,7014,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EJnWl4RUUAAHd9G.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/N2yLUBivNf",2019/11/18 10:27,258,2036,2294,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1196238339411566592/pu/img/HG4w0faIgyVCVacA.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/vZqxEB5WTg",2019/11/18 11:34,138,1593,1731,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EJnz6yZVAAYygds.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
SILENT POETS新曲「Almost nothing feat. Okay Kaya」（「DEATH STRANDING」エンディングソング）が11/22より全世界配信開始に。ゲームのビジュアルを使用したジャケットアートワークも公開。 | SILENT POETS OFFICIAL SITE https://t.co/VR2ImR341C,2019/11/18 19:01,150,748,898,0,0,1,0,Kojima_Hideo,,Original Tweet,Text,いいえ,いいえ,Japanese,,,,,,,https://www.silentpoets.net/news/almost-nothing-feat-okay-kaya/,,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/Hw9eH2ffPW",2019/11/18 19:02,71,684,755,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1196367909615915008/pu/img/KBXZzuUYm54Fz70U.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/MLACGR8isE",2019/11/18 19:05,278,2952,3230,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1196368798258851842/pu/img/SwOvY7U25DjXZka5.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/WBzRebs2pf",2019/11/18 19:06,152,1543,1695,5,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EJpbRbhU0AAAPeQ.jpg,http://pbs.twimg.com/media/EJpbRbgU4AYj6qV.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
劇場公開を観逃してしまっていた湯浅政明監督の「きみと、波にのれたら」を機内で観た。凄かった。号泣してしまった。今年観たアニメの中でもベスト1。 https://t.co/J2neB6K1Fh,2019/11/18 20:24,1074,5641,6715,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EJptO3vVUAAcsLe.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
デスストの劇中では、“BT”の各種タイプの名前は語られていません。ただし、「エイリアン」のフェイスハガーやチェストバスター等と同じく、制作内部での呼称はつけられています。宙に浮いているのがゲイザー、タールから引き摺り込もうと現れるのがハンター、巨大なクリーチャーがキャッチャーです。 https://t.co/Dgyfg9Ihr4,2019/11/18 21:04,3227,11405,14632,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EJp2bx1UwAA9L31.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
おはようございます。 https://t.co/Kyoo1Bc0zV,2019/11/19 7:38,82,917,999,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EJsHit5VAAARcuL.jpg,http://pbs.twimg.com/media/EJsHit4UUAUO7MI.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"あなたの“BB(ベイビー)”は、元気にしていますか？繋がっていますか？

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/OtRkGnImm2",2019/11/19 7:49,301,1930,2231,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EJsJ6v0UcAI0Jmu.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
https://t.co/hd2foPCfI9,2019/11/19 8:29,106,1121,1227,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Undetermined,,,,,,,,"http://pbs.twimg.com/media/EJsTLqNVUAAvFlC.jpg,http://pbs.twimg.com/media/EJsTLqeU0AAVVK0.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
全世界のサム・ポーター・ブリッジズの皆様。みんなを繋いでくれてありがとうございます。まだ配送途中のサム、配達依存症のサム、道路建設に夢中のサム、ストーリーが気になっているサム。一度クリアしても続けて遊べる仕組みになっています。楽しんで下さい。ひとりだけどひとりじゃない。繋がって? https://t.co/eKItHfA9eh,2019/11/19 8:45,4614,14800,19414,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EJsWwiLU0AAWy_4.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"sonyの川口さんから、早めのクリスマスプレゼントをいただきました。walkmanの40周年モデル！ありがとうございます！！！
40年前、僕の人生と世界の見え方を変えてくれたwalkman！！！嬉しい！ https://t.co/Ck9lyLa8M3",2019/11/19 10:51,233,1771,2004,0,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EJszuDBUEAAHKsn.jpg,http://pbs.twimg.com/media/EJszuC4UYAAyJco.jpg,http://pbs.twimg.com/media/EJszuC4UEAAy_KN.jpg,http://pbs.twimg.com/media/EJszuDPUUAEd8ro.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"僕とwalkmanとの40年前の大切な繋がりエピソードは、新潮社から発売中のエッセイ集「創作する遺伝子 僕が愛したMEMEたち」でも紹介しています。

歩く殻を破った私たち。 https://t.co/2PJvq00FdZ",2019/11/19 11:00,276,1570,1846,0,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EJs1nMqUcAAikBx.jpg,http://pbs.twimg.com/media/EJs1nYEUwAMhTVR.jpg,http://pbs.twimg.com/media/EJs1ndcUcAAUuXA.jpg,http://pbs.twimg.com/media/EJs1nerUcAEqe6U.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
【新宿本店】緊急告知！！　『創作する遺伝子』『デス・ストランディング』上下発売記念・小島秀夫＆野島一 人ミニトークショウ＆サイン会（2019年12月5日） | 本の「今」がわかる 紀伊國屋書店 https://t.co/HvzaeDORAh,2019/11/19 12:01,138,437,575,0,0,1,0,Kojima_Hideo,,Original Tweet,Text,いいえ,いいえ,Japanese,,,,,,,https://www.kinokuniya.co.jp/c/store/Shinjuku-Main-Store/20191119100021.html,,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"押井守監督、デスストを語る。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/GnRVRF4wSr",2019/11/19 12:18,190,885,1075,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1196627939338539008/pu/img/cRsu8WbwdD-FQ8-2.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
https://t.co/b52HWESoQ1,2019/11/19 13:39,4772,23793,28565,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Undetermined,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1196649035110633472/pu/img/Pi1kCsaGTkNsEjbM.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
山田正紀先生の新作が届いた！ありがとうございます！ https://t.co/ssZvPiq18Z,2019/11/19 14:47,34,328,362,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EJtpt6YUcAA1oHg.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"ファンの方からいただいたフーディー。ありがとうございます。暖かい。繋がった。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/csVAqYiXlH",2019/11/19 15:34,205,1569,1774,5,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EJt0a-fUEAApnpR.jpg,http://pbs.twimg.com/media/EJt0a-fUYAQCSoe.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"ジョージ・ミラー監督、デスストを語る。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/CY7zbea6GO",2019/11/19 15:49,289,1121,1410,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1196681833775153153/pu/img/DsORBjXuCISM1oKw.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
新潮文庫から発売中のエッセイ集『創作する遺伝子』と11月末発売予定の『デス・ストランディング』のノベライズ本の発売記念で、僕と野島一人(矢野さん)のミニトークショウ＆サイン会（2019年12月5日）を紀伊國屋書店 新宿本店で行う事になりました。https://t.co/HvzaeDORAh https://t.co/slbQ2ns2Rn,2019/11/19 23:17,310,1226,1536,0,0,1,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,https://www.kinokuniya.co.jp/c/store/Shinjuku-Main-Store/20191119100021.html,"http://pbs.twimg.com/media/EJveYdyUYAEFw1a.jpg,http://pbs.twimg.com/media/EJveYdyUEAIb4s0.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
Event Horizon [[EP .1]] Making Of LUDENS - YouTube https://t.co/acsk7N296p,2019/11/20 7:39,62,336,398,0,0,1,0,Kojima_Hideo,,Original Tweet,Text,いいえ,いいえ,English,,,,,,,https://www.youtube.com/watch?v=dhLaJB7Cvxk,,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
おはようございます。 https://t.co/y8zyJ7C11a,2019/11/20 7:41,494,4224,4718,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EJxRziRVAAAAAvz.jpg,http://pbs.twimg.com/media/EJxRziQUcAED-mp.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
